NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07018752,"A PLATFORM TRIAL, EVALUATING NEW DRUGS OR COMBINATION IN RELAPSED OR REFRACTORY PERIPHERAL T-CELL LYMPHOMAS",https://clinicaltrials.gov/study/NCT07018752,NOT_YET_RECRUITING,Peripheral T Cells Lymphoma (PTCL),DRUG: roginolisib|DRUG: Golcadomide|DRUG: azacitidine,The Lymphoma Academic Research Organisation,iOnctura|AbbVie|Bristol-Myers Squibb,INTERVENTIONAL
NCT06495723,Polyspecific Antibodies in Lymphoproliferative T-cell Disorders,https://clinicaltrials.gov/study/NCT06495723,RECRUITING,Peripheral T Cells Lymphoma (PTCL),DRUG: LIS1,Xenothera SAS,,INTERVENTIONAL
NCT05013372,CD147-CAR T Cells for Relapsed/Refractory T Cell Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT05013372,UNKNOWN,T-cell Non-Hodgkin's Lymphoma,DRUG: CD147- CAR T cells,Peking University People's Hospital,,INTERVENTIONAL
NCT02520908,Benefit of Allogeneic Haematopoietic Stem Cells in Cutaneous T-cell Lymphomas Epidermotropic With Advanced Stage and Poor Prognosis,https://clinicaltrials.gov/study/NCT02520908,ACTIVE_NOT_RECRUITING,Epidermotropic T-cell Lymphomas,PROCEDURE: HSCT|OTHER: Standard Care,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL
NCT06176027,Azacytidine Plus CAOLD Regimen in Relapsed/Refractory Peripheral T-Cell Lymphomas,https://clinicaltrials.gov/study/NCT06176027,RECRUITING,Relapsed Peripheral T-Cell Lymphomas|Refractory Peripheral T-Cell Lymphomas,DRUG: Azacytidine plus CAOLD regimen,"Navy General Hospital, Beijing",Chinese PLA General Hospital,INTERVENTIONAL
NCT02520219,Endostar Aggressive Treatment of Peripheral T-cell Lymphoma (PTCL) Phase II Clinical Study,https://clinicaltrials.gov/study/NCT02520219,UNKNOWN,Peripheral T-cell Lymphomas,DRUG: GDP|BIOLOGICAL: Endostar,"Nanjing NingQi Medicine Science and Technology Co., Ltd.",Jiangsu Cancer Institute & Hospital,INTERVENTIONAL
NCT02987244,Chidamide Plus CHOEP Combined With Upfront ASCT in Untreated Peripheral T-cell Lymphoma,https://clinicaltrials.gov/study/NCT02987244,UNKNOWN,T Cell Non-Hodgkin's Lymphoma,DRUG: Chidamide|DRUG: Cyclophosphamide|DRUG: Epirubicin|DRUG: Vindesine|DRUG: Etoposide|DRUG: Prednisone,Peking Union Medical College Hospital,Chinese PLA General Hospital|Peking University First Hospital|Peking University Third Hospital|Peking University Cancer Hospital & Institute|Tianjin Medical University Cancer Institute and Hospital,INTERVENTIONAL
NCT05105412,Lenalidomide and Gemcitabine in Relapsed or Refractory Peripheral T-cell Lymphomas,https://clinicaltrials.gov/study/NCT05105412,TERMINATED,Peripheral T-cell Lymphomas (PTCL),DRUG: Lenalidomide and Gemcitabine (Dose level 11)|DRUG: Lenalidomide and Gemcitabine (Dose level 21)|DRUG: Lenalidomide and Gemcitabine (Dose level 31)|DRUG: Lenalidomide and Gemcitabine (Dose level 41),"National Health Research Institutes, Taiwan",National Taiwan University Hospital|Chang Gung Memorial Hospital|National Cheng-Kung University Hospital|China Medical University Hospital,INTERVENTIONAL
NCT00972842,"Lenalidomide, Vorinostat and Dexamethasone in Relapsed Patients With Peripheral T-Cell Non-Hodgkin's Lymphoma (PTCL)",https://clinicaltrials.gov/study/NCT00972842,TERMINATED,Peripheral T-Cell Non-Hodgkin's Lymphoma,"DRUG: Vorinostat, Lenalidomide",Arbeitsgemeinschaft medikamentoese Tumortherapie,Merck Sharp & Dohme LLC|Celgene Corporation,INTERVENTIONAL
NCT05316246,Efficacy and Safety of BV With Tislelizumab for the Treatment of CD30+ Relapsed/Refractory NK/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05316246,UNKNOWN,NK/T Cell Lymphoma Nos,DRUG: Brentuximab Vedotin in Combination with Tislelizumab,Shanghai Zhongshan Hospital,Takeda|BeiGene,INTERVENTIONAL
NCT00453427,Alemtuzumab and CHOP Chemotherapy for Aggressive Histological Peripheral T-Cell Lymphomas,https://clinicaltrials.gov/study/NCT00453427,COMPLETED,Peripheral T-cell Lymphomas,DRUG: Alemtuzumab (Campath-1H),Ontario Clinical Oncology Group (OCOG),"Sunnybrook Health Sciences Centre|Genzyme, a Sanofi Company",INTERVENTIONAL
NCT04484506,Pegaspargase-COEP Chemotherapy Combined With Radiotherapy for Extra-nodal NK/T Cell Lymphoma,https://clinicaltrials.gov/study/NCT04484506,RECRUITING,NK/T Cell Lymphoma Nos,"DRUG: pegaspargase, cyclophosphamide, vincristine, etoposide, prednisone",Peking University,Peking University Cancer Hospital & Institute|Peking University International Hospital|Hebei Medical University Fourth Hospital|Jiangxi Provincial Cancer Hospital,INTERVENTIONAL
NCT04231370,Lenalidomide and Sintilimab for Relapsed/Refractory NK/T-cell Lymphoma,https://clinicaltrials.gov/study/NCT04231370,UNKNOWN,NK/T Cell Lymphoma Nos,DRUG: Sintilimab|DRUG: Lenalidomide,Beijing Tongren Hospital,,INTERVENTIONAL
NCT00655668,A Phase II Study of Single-Agent Lenalidomide in Subjects With Relapsed Or Refractory T-Cell Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00655668,TERMINATED,T-cell Non-Hodgkin's Lymphoma,DRUG: Lenalidomide,Celgene,,INTERVENTIONAL
NCT00840385,"Orally Fludarabine, Adriamycin and Dexamethasone (FAD) in Newly Diagnosed Peripheral T-cell Lymphomas (PTCL)",https://clinicaltrials.gov/study/NCT00840385,UNKNOWN,T-Cell Lymphomas|Chemotherapy,DRUG: FAD,Fudan University,,INTERVENTIONAL
NCT04365036,"A Multicenter, Phase 3, Randomized Trial of Sequencial Chemoradiotherapy with or Without Toripalimab (PD-1 Antibody) in Newly Diagnosed Early-Stage Extranodal Natural Killer/T Cell Lymphoma, Nasal Type (ENKTL)",https://clinicaltrials.gov/study/NCT04365036,RECRUITING,NK/T Cell Lymphoma Nos,DRUG: Toripalimab|DRUG: Pegaspargase|DRUG: Gemcitabine|DRUG: Oxaliplatin|RADIATION: Definitive intensity-modulated radiotherapy (IMRT),Sun Yat-sen University,,INTERVENTIONAL
NCT04127227,"Sintilimab With P-GemOx Regimen for Newly Diagnosed Advanced Extranodal Natural Killer/T-cell Lymphoma, Nasal Type",https://clinicaltrials.gov/study/NCT04127227,RECRUITING,NK/T Cell Lymphoma Nos,"DRUG: sintilimab,pegaspargase,gemcitabine,oxaliplatin",Sun Yat-sen University,,INTERVENTIONAL
NCT03617224,Pembrolizumab and Total Skin Electron Beam Radiotherapy in Mycosis Fungoides and Sézary Syndrome,https://clinicaltrials.gov/study/NCT03617224,WITHDRAWN,Cutaneous T-Cell Lymphomas,RADIATION: TSEBT|DRUG: TSEBT and pembrolizumab,University of Texas Southwestern Medical Center,,INTERVENTIONAL
NCT06224049,Treatment of Relapsed or Refractory Epstein-Barr Virus Positive T-cell Lymphoma With hNeo-T,https://clinicaltrials.gov/study/NCT06224049,RECRUITING,T-cell Lymphoma,BIOLOGICAL: hNeo-T|DRUG: Cyclophosphamide|DRUG: Fludarabine,"BGI, China",Shenzhen University General Hospital,INTERVENTIONAL
NCT01878708,A Pilot Study of Oncaspar® + Dexamethasone in Patients With Relapsed or Refractory T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT01878708,TERMINATED,T-Cell Lymphoma|Relapsed T-Cell Lymphoma|Refractory T-Cell Lymphoma,DRUG: PEG-L-asparaginase|DRUG: Dexamethasone acetate,Dana-Farber Cancer Institute,"Leadiant Biosciences, Inc.",INTERVENTIONAL
NCT05996185,Study of Mogamulizumab With DA-EPOCH in Patients With Aggressive T Cell Lymphoma,https://clinicaltrials.gov/study/NCT05996185,RECRUITING,T Cell Lymphoma,DRUG: Mogamulizumab|DRUG: DA-EPOCH Protocol,Yale University,"Kyowa Kirin, Inc.",INTERVENTIONAL
NCT06756308,A Study of Enasidenib in People With T-Cell Lymphoma,https://clinicaltrials.gov/study/NCT06756308,RECRUITING,T-cell Lymphoma,DRUG: Enasidenib|DRUG: Rituximab,Memorial Sloan Kettering Cancer Center,Bristol-Myers Squibb|The Leukemia and Lymphoma Society,INTERVENTIONAL
NCT05313243,Pembrolizumab and Brentuximab Vedotin in Subjects With Relapsed/Refractory T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05313243,RECRUITING,T-Cell Lymphoma,DRUG: Brentuximab vedotin|DRUG: Pembrolizumab,Yale University,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT04502446,A Safety and Efficacy Study Evaluating CTX130 in Subjects With Relapsed or Refractory T or B Cell Malignancies (COBALT-LYM),https://clinicaltrials.gov/study/NCT04502446,TERMINATED,T Cell Lymphoma,BIOLOGICAL: CTX130,CRISPR Therapeutics AG,,INTERVENTIONAL
NCT05367856,Efficacy and Safety of Chidamide Combined With BEAM Pretreatment Regimen in Autologous Transplantation for T-cell Lymphoma,https://clinicaltrials.gov/study/NCT05367856,UNKNOWN,T Cell Lymphoma,DRUG: Chidamide combined with BEAM,Ruijin Hospital,,INTERVENTIONAL
NCT05886478,A Study in Adults With Cutaneous T-cell Lymphoma (CTCL) Retreated With Brentuximab Vedotin,https://clinicaltrials.gov/study/NCT05886478,COMPLETED,T-Cell Lymphoma,DRUG: No intervention,Takeda,,OBSERVATIONAL
NCT04840875,Phase I Clinical Trial of Autologous CD7-CAR T Cell Therapy for High-risk Acute T-cell Leukemia/lymphoma,https://clinicaltrials.gov/study/NCT04840875,COMPLETED,T Cell Lymphoma|T-cell Leukemia,BIOLOGICAL: chimeric antigen receptor T cell treatment,Beijing Boren Hospital,,INTERVENTIONAL
NCT05230680,Azacitidine-CHOP for Patients With Nodal T-cell Lymphoma With T-follicular Helper Phenotype (ACANTUS),https://clinicaltrials.gov/study/NCT05230680,RECRUITING,T Cell Lymphoma,DRUG: ACHOP,Won Seog Kim,,INTERVENTIONAL
NCT05010005,A Study of Ruxolitinib and Duvelisib in People With Lymphoma,https://clinicaltrials.gov/study/NCT05010005,RECRUITING,T-cell Lymphomas|NK-Cell Lymphomas|T-cell Prolymphocytic Leukemia|T-cell Large Granular Lymphocyte Leukemia,DRUG: Ruxolitinib|DRUG: Duvelisib,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT04331119,Duvelisib Maintenance After Autologous Stem Cell Transplant in T-Cell Lymphomas,https://clinicaltrials.gov/study/NCT04331119,ACTIVE_NOT_RECRUITING,T-Cell Lymphoma,DRUG: Duvelisib|PROCEDURE: Peripheral blood draw,Washington University School of Medicine,SecuraBio,INTERVENTIONAL
